version,title,group,rank,rank_normalized,rank_pct,log10_rank_pct,eigenvalue,eigenvalue_normalized,log10_eigenvalue,log10_eigenvalue_normalized,n_samples
v12,PlantCAD2-Small random init at 4096bp,DNA random init,1,0.0013020833333333333,0.13020833333333331,-0.8853612200315121,0.850864,1.0,-0.07013985092553349,0.0,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,2,0.0026041666666666665,0.26041666666666663,-0.5843312243675309,0.22047181,0.2591152170029523,-0.6566469324732601,-0.5865070815477267,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,3,0.00390625,0.390625,-0.4082399653118496,0.112571344,0.13230239380206474,-0.9485721487968206,-0.8784322978712871,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,4,0.005208333333333333,0.5208333333333333,-0.2833012287035497,0.07317665,0.08600275719738995,-1.1356274762352538,-1.0654876253097203,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,5,0.006510416666666667,0.6510416666666667,-0.18639121569549313,0.04212796,0.049511978412531264,-1.375429570595288,-1.3052897196697544,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,6,0.0078125,0.78125,-0.10720996964786836,0.015772592,0.018537148122379134,-1.8020969307169823,-1.731957079791449,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,7,0.009114583333333334,0.9114583333333334,-0.04026318001725515,0.009841203,0.011566129252148404,-2.006951809665447,-1.9368119587399135,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,8,0.010416666666666666,1.0416666666666665,0.017728766960431522,0.009355678,0.010995503394196957,-2.0289247339802072,-1.958784883054674,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,9,0.01171875,1.171875,0.06888128940781287,0.0072093415,0.008472965714849847,-2.1421044018515487,-2.0719645509260154,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,10,0.013020833333333334,1.3020833333333335,0.11463877996848806,0.006795158,0.00798618580642735,-2.1678004406635867,-2.0976605897380534,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,11,0.014322916666666666,1.4322916666666665,0.15603146512671298,0.0057181185,0.006720367179713797,-2.2427468487396873,-2.172606997814154,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,12,0.015625,1.5625,0.19382002601611284,0.00560972,0.00659296902912804,-2.2510588153017133,-2.1809189643761795,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,13,0.016927083333333332,1.6927083333333333,0.22858213227532476,0.0046722773,0.0054912151648207,-2.3304713897214273,-2.260331538795894,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,14,0.018229166666666668,1.8229166666666667,0.260766815646726,0.0042204154,0.004960152738863085,-2.374644800922415,-2.3045049499968817,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,15,0.01953125,1.953125,0.2907300390241692,0.003554569,0.004177599475356814,-2.4492130509874666,-2.379073200061933,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,16,0.020833333333333332,2.083333333333333,0.3187587626244127,0.0033742203,0.003965639984768424,-2.4718265661004732,-2.4016867151749395,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,17,0.022135416666666668,2.213541666666667,0.345087701346762,0.0031954595,0.0037555467148686515,-2.4954666824302367,-2.4253268315047034,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,18,0.0234375,2.34375,0.36991128507179405,0.0029812993,0.0035038493813347375,-2.5255944218830044,-2.455454570957471,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,19,0.024739583333333332,2.473958333333333,0.3933923809213169,0.0028633194,0.0033651904417157153,-2.5431302042241026,-2.472990353298569,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,20,0.026041666666666668,2.604166666666667,0.4156687756324693,0.0027133294,0.0031889108012561353,-2.566497479397857,-2.4963576284723232,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,21,0.02734375,2.734375,0.4368580747024073,0.0025028584,0.0029415492957746477,-2.601563720043469,-2.531423869117935,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,22,0.028645833333333332,2.864583333333333,0.4570614607906942,0.0024241991,0.002849102911863706,-2.6154317143405574,-2.5452918634150237,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,23,0.029947916666666668,2.994791666666667,0.4763666159860809,0.002140874,0.0025161177344440477,-2.6694088921240477,-2.5992690411985144,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,24,0.03125,3.125,0.49485002168009407,0.0020703585,0.0024332425628537583,-2.683954446286526,-2.6138145953609926,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,25,0.032552083333333336,3.2552083333333335,0.5125787886405256,0.0019590533,0.0023024282376502008,-2.7079537479863816,-2.6378138970608482,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,26,0.033854166666666664,3.3854166666666665,0.529612127939306,0.001899142,0.0022320159273397392,-2.7214425615869278,-2.6513027106613944,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,27,0.03515625,3.515625,0.5460025441274754,0.0017849758,0.002097839137629515,-2.7483676675056854,-2.6782278165801516,262144
v12,PlantCAD2-Small random init at 4096bp,DNA random init,28,0.036458333333333336,3.6458333333333335,0.5617968113107072,0.0017026277,0.0020010573957765284,-2.7688803053620132,-2.69874045443648,262144
