true_label,Caenorhabditis elegans,Callithrix jacchus,Drosophila melanogaster,Fundulus heteroclitus,Homo sapiens,Mus musculus
Caenorhabditis elegans,2545,12,97,36,3,4
Callithrix jacchus,7,2408,7,166,1715,1341
Drosophila melanogaster,122,3,1385,57,3,5
Fundulus heteroclitus,37,99,31,4776,69,153
Homo sapiens,10,1664,0,145,2472,1256
Mus musculus,7,1009,4,171,956,3440
